NXT1	23540
NDUFS1	23511
ZNF253	23400
C21orf33	23385
IL1B	22997
C11orf96	22990
MAL2	22872
KRI1	22743
DBT	22698
FOSB	22594
ZFP62	22500
SDHB	22474
ZNF423	22396
SUGP1	22117
TMEM125	21964
DHDDS	21812
CD83	21780
ZNF230	21684
NFKBID	21604
RBBP8NL	21552
BOK	21539
LRPAP1	21276
CTBP2	21084
ATP5F1	21010
ALDH4A1	20880
KRT18	20856
ALKBH5	20850
QKI	20845
RHOB	20748
ERP29	20621
SH3D19	20590
FGFRL1	20352
SFPQ	20268
ZC3H12A	20152
DUSP2	20097
ATP5J	19988
FILIP1L	19960
DDX5	19890
SCN1B	19780
SLC2A14	19584
EDF1	19568
KIAA1324	19459
GNG2	19409
CYR61	19386
NDUFA13	19363
B4GALNT4	19240
IRF6	19240
PPIG	19227
INTS6	19224
TNXB	19220
MLF1	19206
DRAP1	19170
EZR	18948
DOK1	18880
CYTH2	18873
SOCS4	18524
NTRK2	18447
PSMC5	18278
ZNF615	18144
CAMK1	17895
GRK6	17892
PECR	17822
HBEGF	17664
ALDH6A1	17646
CDH3	17584
TINAGL1	17577
ZBED8	17544
ARID5B	17296
RNF138	17262
SPTY2D1	17180
BUD31	17176
NEK7	17112
ZFP36L2	17010
RLF	17000
MIR22HG	16960
CDC42EP1	16848
HHEX	16848
GRIPAP1	16672
BCKDHA	16640
CHDH	16608
ERF	16600
DDRGK1	16530
RYBP	16528
SRSF6	16515
COX8A	16456
STX11	16280
KLF4	16248
PXMP2	16167
SLIT3	16155
PPM1G	16128
AIFM2	16115
PPDPF	16094
MMD	16068
ATP5H	16029
GAS7	16008
DNM1	15990
CEBPA	15980
EPCAM	15862
RGS1	15822
NDUFS4	15813
JUNB	15714
DLST	15684
LARP4B	15624
MRPS2	15587
MFSD6	15543
ZNF614	15540
FGF1	15507
CH25H	15472
MGLL	15366
PDIK1L	15327
ZNF624	15253
BTBD2	15240
ACSS2	15224
MMP23B	15162
COX10	15148
FN1	15140
RASGEF1B	15130
PACS2	15043
SDF4	15024
CCDC117	15015
CDR2	14875
ARRDC2	14820
CYC1	14760
PIN1	14748
C2CD4B	14656
PCYT2	14496
FBXO45	14487
PIGA	14478
FXYD3	14388
PLEKHS1	14340
TMOD1	14336
PARVB	14320
C22orf46	14256
TMED1	14248
PLCH2	14224
CYCS	14196
ACAT2	14166
PLEKHF1	14119
SGMS2	14112
MT1A	14100
SHFM1	14079
ACACB	14052
TST	14042
CFL2	14013
UQCRH	14001
LOXL1	13984
CYB5R3	13958
EHBP1L1	13872
TSSC4	13867
NEGR1	13663
UQCRFS1	13596
LRRN4CL	13472
GCDH	13468
COL4A1	13450
